session_id,task,turn,AveCopyCount,AveCopyInlineText,FirstCopy_abs,LastCopy_abs,FirstCopy_ref,LastCopy_ref,AveButtonCount,FirstButton_abs,LastButton_abs,FirstButton_ref,LastButton_ref,Regenerate_EditCount,FirstRegenerate_Edit_abs,LastRegenerate_Edit_abs,FirstRegenerate_Edit_ref,LastRegenerate_Edit_ref,PositiveButtonCount,FirstPositiveButton_abs,LastPositiveButton_abs,FirstPositiveButton_ref,LastPositiveButton_ref,NegativeButtonCount,FirstNegativeButton_abs,LastNegativeButton_abs,FirstNegativeButton_ref,LastNegativeButton_ref,AveOverallButtonCount,StopGeneratingCount,session_engagement_count,unique_engagement,turn_engagement_rate,PLE_abs,PLE_rel,max_scroll_distance,maxscroll_over_turndepth,AveScrollback,mixed_scroll_count,mixed_scroll_ratio,scroll_volatility,sum_scroll_time,ave_scroll_time,avg_pause_time,scroll_top_rate,ave_user_text,ave_system_text,navigate_count,sum_nav_dwell,session_dwell_time,time_to_first_eng,time_to_last_eng,turn-dwelltime,plat,sati
1_1,creation,4,3.5,104,1,8,0.125,1,0.25,4,4,0.5,0.5,,,,,,,,,,,,,,,,0,,69,1,17.25,9.857142857,78.85714286,3883,970.75,1941.5,0,0,0.211538462,83.627,0.804105769,12.07707767,1,55.75,1230.75,0,0,1542.317,127.034,1456.888,385.57925,GPT,6
1_2,evaluation,3,5,41.06666667,2,6,0.333333333,1,0,,,,,,,,,,,,,,,,,,,,0,,79,1,1.15625,15.8,94.8,6649,2216.333333,4432.666667,2,0.029411765,0.294117647,89.652,1.318411765,7.782925373,1,52,1471.333333,0,0,736.013,44.148,669.328,245.3376667,GPT,6
10_1,creation,7,4.571428571,40.71875,2,14,0.142857143,1,0.714285714,12,14,0.857142857,1,,,,,,1,12,12,0.857142857,0.857142857,,,,,,0,,185,1,26.33333333,14.23076923,199.2307692,8069.5,1152.785714,2305.571429,6,0.03,0.225,156.552,0.78276,4.864663317,1,42.85714286,1164.285714,0,0,1287.19,105.033,1230.094,183.8842857,GPT,5
10_2,evaluation,7,2.285714286,93.3125,2,12,0.142857143,0.857142857,0.571428571,5,9,0.357142857,0.642857143,,,,,,,,,,,,,,,,5.714285714,0,222,1,5.375,18.5,259,6948.5,992.6428571,1985.285714,6,0.018292683,0.231707317,289.916,0.883890244,2.94735474,1,58,3460.333333,0,0,1450.766,134.607,1421.584,207.2522857,GPT,6
11_1,evaluation,4,2.5,49.5,2,2,0.25,0.25,0,,,,,,,,,,,,,,,,,,,,0,,36,1,20.33333333,18,144,1696,424,848,0,0,0.127272727,93.873,0.853390909,2.026293578,1,125,807.5714286,0,0,442.383,62.783,383.209,110.59575,GPT,6
11_2,creation,2,2.5,242.6,2,4,0.5,1,0,,,,,,,,,,,,,,,,,,,,0,,36,1,26.42857143,12,48,2142,1071,2142,1,0.013513514,0.148648649,65.582,0.886243243,1.964205479,1,69,837.5,0,0,278.714,28.13,237.779,139.357,GPT,7
12_1,evaluation,2,0,,,,,,0.5,4,4,1,1,,,,,,,,,,,,,,,,0,,19,1,5.6,4.75,19,3118,1559,3118,0,0,0.25,46.799,1.169975,7.710923077,1,156,2497.5,0,0,791.954,304.93,672.01,395.977,GPT,7
12_2,creation,4,1.25,39.6,2,8,0.25,1,0,,,,,,,,,,,,,,,,,,,,0.25,0,43,1,31.71428571,6.142857143,49.14285714,2218,554.5,1109,2,0.055555556,0.472222222,29.347,0.815194444,6.071542857,1,101.5,285.5,0,0,644.612,1.993,612.452,161.153,GPT,5
13_1,evaluation,4,0.5,534,8,8,1,1,0,,,,,,,,,,,,,,,,,,,,0.5,0,9,1,4,1.285714286,10.28571429,1595.555664,398.888916,797.777832,2,0.026315789,0.092105263,52.817,0.694960526,4.874066667,0,91.25,2798,0,0,503.708,49.622,485.991,125.927,GPT,5
13_2,creation,4,1.25,607.6,6,8,0.75,1,0,,,,,,,,,,,,,,,,,,,,0,,17,1,9,2.428571429,19.42857143,1959.111115,489.7777786,979.5555573,0,0,0.138211382,92.286,0.750292683,2.169286885,1,67.5,862.25,0,0,446.093,62.857,421.372,111.52325,GPT,6
14_1,creation,3,0.666666667,2202,6,6,1,1,0,,,,,,,,,,,,,,,,,,,,0,,9,1,18,1.8,10.8,3276.444336,1092.148112,2184.296224,0,0,0.085470085,80.668,0.689470085,1.137051724,0,67,1886.666667,0,0,454.241,79.942,295.856,151.4136667,GPT,6
14_2,evaluation,5,0,,,,,,0.2,10,10,1,1,,,,,,,,,,,,,,,,0,,8,1,5.666666667,0.888888889,8.888888889,1287.111206,257.4222412,514.8444824,0,0,0.078740157,76.198,0.599984252,1.278222222,0,49.4,1927.2,0,0,452.739,66.443,308.537,90.5478,GPT,6
15_1,creation,6.5,1.846153846,315.1666667,12,12,0.923076923,0.923076923,0,,,,,,,,,,,,,,,,,,,,0.923076923,0,101,1,9.5,9.181818182,119.3636364,2940.444458,452.3760705,904.7521409,23,0.088461538,0.296153846,286.641,1.102465385,2.722857143,0,23,523.2857143,0,0,1085.822,29.502,1041.788,167.0495385,GPT,6
15_2,evaluation,8,0.5,313,16,16,1,1,0.125,8,8,0.5,0.5,,,,,,,,,,,,,,,,0.5,0,50,1,13,3.333333333,53.33333333,12347.55536,1543.44442,3086.88884,2,0.006802721,0.129251701,310.561,1.056329932,1.617880546,1,29.625,2605,0,0,866.517,6.533,835.269,108.314625,GPT,7
16_1,creation,5,1.8,158.5555556,4,10,0.4,1,0,,,,,,,,,,,,,,,,,,,,0,,54,1,10.75,6,60,5360.000168,1072.000034,2144.000067,5,0.02173913,0.182608696,207.221,0.90096087,3.422331878,1,67,1172.2,0,0,1203.707,152.556,1156.098,240.7414,GPT,6
16_2,evaluation,4,0.5,905.5,8,8,1,1,0.25,8,8,1,1,,,,,,,,,,,,,,,,0,,24,1,9.2,3.428571429,27.42857143,3876.44439,969.1110975,1938.222195,0,0,0.180722892,144.496,0.870457831,4.148442424,1,89,1580.75,0,0,979.803,14.219,975.988,244.95075,GPT,6
17_1,evaluation,2,3,64.5,2,2,0.5,0.5,0.5,2,2,0.5,0.5,,,,,,,,,,,,,,,,1,0,29,1,14.5,9.666666667,38.66666667,2504,1252,2504,0,0,0.277777778,50.477,2.804277778,6.096647059,1,35,1203,0,0,422.283,33.097,254.671,422.283,P,6
17_2,creation,14,0.071428571,389,8,8,0.285714286,0.285714286,0.071428571,8,8,0.285714286,0.285714286,,,,,,,,,,,,,,,,0,,19,1,1.357142857,2.375,66.5,1350.399979,96.45714133,192.9142827,7,0.24137931,0.517241379,101.509,3.500310345,20.994,0,31.35714286,628.1428571,0,0,777.821,25.139,746.608,111.1172857,P,5
18_1,creation,4,0.25,11,4,4,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,0,,15,1,3.75,2.142857143,17.14285714,993,496.5,993,0,0,0.238095238,30.08,1.432380952,4.89695,1,30.25,250.75,0,0,216.449,31.563,162.422,108.2245,P,7
18_2,evaluation,4,0.75,109.3333333,2,8,0.25,1,0.25,6,6,0.75,0.75,,,,,,,,,,,,,,,,0,,23,1,5.75,3.285714286,26.28571429,1099,274.75,549.5,3,0.230769231,0.615384615,18.471,1.420846154,9.4455,0,34.75,582.5,3,0,235.979,6.25,225.414,117.9895,P,6
19_1,evaluation,4,3.5,88.14285714,4,8,0.5,1,0,,,,,,,,,,,,,,,,,,,,0.25,0,58,1,17,7.25,58,3399,849.75,1699.5,2,0.012345679,0.209876543,138.249,0.853388889,18.26562733,1,51,2086.5,0,0,3175.192,43.628,3166.212,793.798,GPT,6
19_2,creation,8,5.5,48.27272727,6,14,0.375,0.875,0,,,,,,,,,,,,,,,,,,,,0.25,0,144,1,2.25,9.6,153.6,4310,538.75,1077.5,2,0.007936508,0.119047619,193.834,0.76918254,3.914075697,1,33.75,1227.25,0,0,1345.268,35.229,1222.35,168.1585,GPT,6
2_1,creation,3,1,60.33333333,4,6,0.666666667,1,0.333333333,6,6,1,1,,,,,,1,6,6,1,1,,,,,,1,0,29,1,4.25,5.8,34.8,753,251,502,4,0.210526316,0.684210526,17.692,0.931157895,9.644388889,1,66.33333333,160.3333333,0,0,400.341,54.372,263.088,133.447,GPT,7
2_2,evaluation,12,0.416666667,53,1,18,0.041666667,0.75,0,,,,,,,,,,,,,,,,,,,,0.416666667,0,68,1,14,2.956521739,70.95652174,4396,366.3333333,732.6666667,5,0.019920319,0.22310757,208.667,0.831342629,2.38194,1,19.5,1293.666667,0,0,955.26,93.167,934.49,79.605,GPT,7
20_1,creation,2,1,142,2,4,0.5,1,0,,,,,,,,,,,,,,,,,,,,0,,16,1,3,5.333333333,21.33333333,1642,821,1642,0,0,0.092592593,40.901,0.757425926,6.345113208,1,62,846,0,0,600.197,150.613,523.412,300.0985,GPT,7
20_2,evaluation,4,6.75,80.66666667,1,8,0.125,1,0,,,,,,,,,,,,,,,,,,,,0,,95,1,23.5,13.57142857,108.5714286,3501,875.25,1750.5,3,0.052631579,0.526315789,56.812,0.996701754,13.295375,1,48.5,911.75,0,0,925.611,104.235,904.453,231.40275,GPT,7
